"num","team","total_epa","auto_cycles","auto_points","teleop_cycles","teleop_points","total_cycles","total_points","links","cube_cycles","cube_points","cone_cycles","cone_points","bot_cycles","mid_cycles","top_cycles","fouls_committed","fouls_drawn","capped_fouls_committed","capped_fouls_drawn"
"8006","The Phantoms","14.6","0","-0.9","2","2.7","2","3.9","0.4","1.4","2.3","0.6","-0.4","2.7","-0.1","-0.6","5","4.3","4.1","3.1"
"701","RoboVikes","14.1","0.6","2.3","1.2","4.4","1.8","7.3","0.1","0.3","1.4","1.5","5.2","0.5","0.8","0.6","1.8","1.1","2","2.3"
"8891","Wild Raccoons","14.1","0.9","3","1.4","4.7","2.3","8.7","0.2","0.9","3.3","1.4","4.4","0.8","1.2","0.3","4.3","0.4","3.9","0.4"
"5857","Walnut Valley Robotics","13.9","0.6","2.8","1.4","2.9","2","6","0.1","2","6.1","0","-0.5","1.1","1","0","4.3","5.5","4.9","5.6"
"6665","Nuns and Bolts","13.7","0.2","0.9","1.8","5.2","2","8.5","0.5","1.8","4.9","0.3","1.3","1.4","-0.2","0.6","0","4.8","2.1","4.4"
"299","Valkyrie Robotics","13.5","0","-0.1","2.2","7.2","2.2","8.9","0.4","1.7","4.8","0.5","2.4","0.9","0.6","0.7","1.6","2.4","1.5","2.7"
"5012","Gryffingear","13.5","0.5","1.6","1.1","2.1","1.7","5.4","0.3","1.5","3.5","0.2","0.2","1.8","-0.1","0","2.2","5.9","2.9","5.7"
"6981","Clockwork Concord","13.4","0.3","1.2","1.1","2.4","1.4","3","-0.1","1.1","3","0.2","0.6","1.5","-0.6","0.2","2.5","0.2","2.6","0"
"4765","PWRUP","13.1","0.7","2.2","1.1","2.1","1.8","5.3","0.2","1.7","4.1","0.1","0.2","1.9","-0.2","0.1","2.9","0","2.3","0"
"7686","Acabots","12.9","0.7","2.6","1.9","4.1","2.5","8.2","0.3","1.6","4.5","0.9","2.1","1.7","0.6","0","0","0.5","0","0.7"
"2404","Team NEY Techs (TNT)","12.9","0.8","2.5","1.2","2.4","2","7.8","0.6","1.4","3.8","0.6","1.2","2.2","-0.5","0.2","1.8","2","2.2","2.4"
"7607","The Blackbirds","12.5","0.1","0.4","1.3","3.1","1.4","3.5","0","0.6","1.6","0.8","1.9","0.9","0.3","0.1","5.5","1.3","4.8","1.2"
"8537","MechanicAnts","12.2","0.2","1.4","1.4","3.4","1.6","5.2","0.1","1.4","2.9","0.1","1.9","1.3","-0.3","0.6","2.4","2.4","2","1.2"
"867","Absolute Value","11.5","0.3","1.1","0.8","2.9","1.1","4.6","0.1","0.6","2.6","0.5","1.4","0.4","0.4","0.4","2.5","4.2","2.6","4.6"
"1759","Potatoes","11.3","0.2","0.3","1.4","3.8","1.6","4.9","0.2","1.5","4","0.1","0.3","0.9","0.4","0","2.7","0.3","1.5","0.5"
"8533","Rancho Reapers","11.2","0.3","0.3","1.4","2.8","1.7","5.9","0.5","1.8","5.1","-0.1","-2","2","-0.3","-0.2","2","0","2","0"
"5805","SMbly Required","11.2","-0.1","-0.3","1.4","4.2","1.3","5","0.2","0.4","1.2","0.8","2.7","0.5","0.1","0.4","4.6","5.7","5.1","4.7"
"1422","The Neon Knights","11.2","0.8","2.2","1.1","2.9","1.9","7.3","0.5","1.2","3.4","0.7","1.7","1.4","0.3","0","1","1.4","1.2","1.5"
"9114","Rotationaries","10.9","0.1","0","1.6","3.5","1.6","5.9","0.5","1.3","2.4","0.3","1","1.9","-0.4","0.2","6.2","0","4","0"
"8060","Command B","10.3","0","0.4","1.4","4.3","1.4","5.9","0.3","0.7","2.4","0.6","2.3","0.7","0","0.6","4.7","6.5","4.4","5.4"
"9172","Robo-sharks","10.1","0.3","0.7","0.9","3.3","1.2","4.2","0","0.5","1.7","0.7","2.4","0.9","-0.3","0.6","1.9","0.6","1.9","0.8"
"7185","TartanBots","9.8","0.2","1.2","1.5","4.4","1.7","6.2","0.1","0.8","3","0.9","2.6","0.1","1.5","0.2","1.7","5.8","1.8","4.6"
"6711","Millennial Falcons","9.5","0.3","1.2","0.6","0.9","0.8","1.5","-0.1","0.7","2.2","0.1","-0.1","0.5","0.6","-0.1","4.4","0.5","4.4","0.5"
"7401","DevTech117","9.1","0","0.1","0.7","0.3","0.8","1.3","0.2","0.9","1","-0.1","-0.6","0.8","0.4","-0.6","0","6.7","0.5","1.9"
"2141","Spartonics","8.8","0","-0.6","1.5","4.9","1.5","3","-0.3","1.6","6.4","-0.2","-2.1","0.8","0.3","0.3","5.4","2.8","3.6","2.7"
"3020","SMbled","8.6","0.5","2.1","1.7","4.8","2.2","6.3","-0.1","1.3","4.4","0.8","2.5","1.1","0.6","0.5","5.5","0","5.1","0"
"4019","Mechanical Paradise","5.8","0.1","0.3","1.5","3","1.6","3.8","0.1","1.5","2.9","0.1","0.4","1.3","0.6","-0.2","4.7","1.8","3.4","1.9"
"5669","Techmen","4.8","-0.2","-0.8","1.1","2","0.9","-0.1","-0.3","1.1","2.3","-0.2","-1.1","1","0.2","-0.2","4.8","0.7","5","0.7"
"6764","Flash Drives","4.8","0.2","0.4","1.2","1.5","1.3","3.2","0.3","1.8","3.3","-0.4","-1.4","1.6","0","-0.3","1.4","3.7","1.8","2.5"
"6885","The Pilots","4.2","0.2","0.9","0.7","1.8","0.9","2.2","-0.1","0.4","1","0.6","1.7","0.8","-0.4","0.3","5.7","4.5","5.6","2.5"
